msno,city,bd,gender,registered_via,registration_init_time
D9bFYEjMvgL725q/ORt9IGTo9d4YgTm+OeJ4geslhgA=,1,0,,4,2016-06-14
pARBL9KMPJoxx1xRf7ziDfz0vCguUhawPRYGwjZDvVk=,1,0,,4,2015-11-08
2WPcxNrzuS0Xrpn8uxIo07RDd/UFr81E0PBryomRjAc=,1,0,,4,2015-10-25
vt0gPAIXKzX4lQvuGtQjizk6Vgf9h/MlkbvYo2cX61Y=,1,0,,9,2014-11-26
+HQg8bnPh7svnkGLArHapHhCqhgO/14gU6HRnRSI7nw=,1,0,,3,2014-03-11
vnkYXZ4yr/lctiXdJvlGr4LPUCGdhfdg8CY5de9xr+s=,5,18,female,3,2015-08-07
bPEzX2OOBjkZMR4WEzXQVpwWxHnuJGnz2MOPAr2/tm8=,1,0,,7,2014-04-27
HVoGDxcnW2eZXjvWAzcmOd7O51eV3clZ0x62m+QEQVc=,1,0,,7,2016-01-06
PkoNajQptAqDBg4w8pSrrlpoBWXrScmxxXeHvg3x9mE=,1,0,,3,2014-07-17
1rjJOpiODpVYB/Og2upZYZWn/vpgEsUMSe6YC6qeKDQ=,1,0,,3,2013-10-15
tEQoh1tG1bXq8BmZ2TR3EMh2ebvYfTtA4Epxox3bcCg=,1,29,male,3,2013-12-19
DyVrJjCJ6I3vXmgmF0WOz9mjK8CdpB9BRQ5mxQ4VFtw=,1,0,,4,2016-04-06
8bBvpukaWvtDou4p0V2ZcN7OjCynzOYIRXTSips+sVE=,1,0,,4,2016-05-23
6doh69f63Eh+8GrwLddrV4hJIlum6ZZ70fOWcVvLBzw=,5,21,male,9,2014-08-12
z8VP2bcXcRKEhDsqTvA2SLHCdJx3zDZXM1FR2DoaI1k=,1,19,female,3,2014-11-16
RSDsQr+AcoHgxepQf06iNQM5w9wqYgDzwz7TtPX2Z7M=,1,0,,4,2016-07-27
05JVJOo04eh/ErJlfTtvP37jte6I3j9zFspgym3c8TY=,1,0,,4,2017-02-10
5ezjIDs1YaJ1c3O/qGlZGlrijwDyWfdpajgw2V3fYMo=,1,0,,4,2015-11-16
+pRYIJRFw3aFf149j6pTDzIldCNgaGNsztojGgskCNI=,1,0,,4,2015-11-17
GlzMvQBoaRkjuaiQHgtgXY5s1RziLl/BBAENzxsQWYY=,1,40,male,4,2017-03-15
OHMGz712bOjrdj0mAY1NkMbHX3X9ZphjeOXC24myWxU=,1,35,female,9,2011-06-06
PONhFOePAOj2aG4HBA6lKmo+FaKqHfkungooNU+dvnc=,1,0,,7,2014-02-05
65XvC3ic7Y5uhsuiUp1b0pCqOWslZH5aEhtqev9Wa6A=,1,0,,4,2017-01-05
yEWJKufFycNx5TnKjuk2eyMQPoJUmsxQXSj8Ued3dQE=,1,0,,4,2017-01-16
ySqmVaUVuF6E2RxQIOQEtxdTcttqSPyicy1EACtQGK8=,1,0,,7,2014-11-14
EUiv0kzL++n02T2U/deXJUPRSURjJFAiCHTuboc6Dpg=,5,45,female,3,2014-11-24
KbdGfkiqsq39LoUio7tE7BIgZKWntdd7YqJpDoo8pg0=,1,0,,7,2015-09-14
Cw40DlKWceN22pcYz4w56K47jljL4XSlOryqg+XN8HY=,1,0,,7,2015-07-15
Y2YW0Gcsjg2EI0nZR3LuoCo3gwAjh6N88qpsIT1uaII=,1,0,,4,2016-04-26
JE6YsdcHDLSFM4Pw2hvEZIUMmCQ/tAbNzvGU80ur3ew=,1,0,,7,2013-12-07
Gv4KpcWWHw4e3aEn8EOlb/EkDjRItj72up7YH2b/S7g=,1,0,,3,2013-08-26
WxKGCD5bQUZR7qLV8quOWPr0p8/vTEAiCwaKDZXzj/s=,17,20,male,3,2016-02-17
TRgM4jLz09vaEAriXtaVNO2GsxNZVVpy/G2lJ7N4cOg=,5,37,male,3,2015-01-05
T5hRTObEPqOaAFLOzGASdWCVtDOQ2vb4aUnGJMMavL0=,1,0,,4,2016-09-25
7BJApMtHXO7DS1CoQmbjMMjUH1jP2dB19r7vrqLVT5g=,1,0,,4,2016-09-28
nQ86vVO1YW/Vr1zddJhX6OYsSUN9EHWyuKpSS4vX8nI=,5,21,male,9,2012-03-18
pYMGKq074eESaw4/xMbROduhxmrtXEVL+X+yRdepPq0=,1,26,male,3,2014-10-13
jmyqkWD9z5I0tCKYIj+JVZgejKCHxaibPCOeMCNK6DA=,1,0,,4,2016-03-26
mga0yW6IWuiJz6dM2En5f7XJ85AGVEgVaMzufESM6Vo=,1,0,,4,2016-04-02
ry1c/pLuYsq7zVhjjxXNXRrZU7+d+V3Q2R6bIWICscg=,1,0,,4,2016-04-02
MjHaUeX0xpNreK7rLl3hXiSxuP0lQFbNstIyRcws4GM=,14,40,male,3,2012-05-13
bRMUlg31Xir0Mqt+k0XoryEkxO5Maswptn70+jkWVlE=,1,0,,7,2016-04-16
WGSmuPwiZdjWahcyKBJaI/jWjTNCOKxrNjdUVn381L4=,4,59,female,3,2015-08-16
mUQ7dpSFM6loK1Eos+tQoB1ogFfD/jYM9S+ycjRUvh8=,1,0,,4,2016-03-04
m6dFFF2Vx0XzLQQFbxliIkIOUVC1Q/wKz2vVmixI71I=,13,23,male,9,2011-10-18
AnoSErR8hsG39l2069K1vHCMfwmylFuigpr2qa/A/zI=,11,50,female,9,2005-09-10
kaCeJxY7eI7u/qK8crRUUniqx8zuOmxC7FzR+uPcvuo=,1,0,,4,2016-04-01
2qcTefFXIHYlmLqNQ5lyMCPm7OZeGOEE8+QVO5d+tHw=,1,0,,4,2016-04-19
XsqdkPNOmLzc0kHHjNi7NbzYx+YHSV5cLUvdoeW5XRo=,21,33,female,9,2011-06-09
qrSlq6pomsIgVidjSaB9R0REVVmJrecyl+S01TYH9oU=,13,24,female,9,2007-10-17
jP96/WO7kohDbT2e2nVxEDJO2r7i5/z6jYS9UvedKNA=,1,36,female,3,2014-07-05
LQ2Ldnm/Rx/jHKZnb4qO9lRsYis07uzZFHLeOH9U+gE=,1,24,male,3,2016-08-09
gqaHm+G9j5NcGMEkL7C3TboDaTNJ8rAjbYgGRoNsJtk=,1,0,,4,2016-05-12
k7UBVajS8aR8A+1vwwT0d4kwAxUsVQWCskCl60zXNYU=,1,0,,4,2015-11-28
iydq3sxgFlbCtKmV1QMCK9bv1IGvAVsOFaOFbMGq3nM=,1,0,,3,2014-02-17
Df3zbhKILbdxHVMfw9a7i3fzMVsSzSyFJhn7k6Er5l4=,5,25,male,3,2014-12-26
G4086JxStnspyJLrSWoWvhURWwVRF09bdQNFYEqshXE=,1,0,,7,2012-11-09
hi7KueJirYLJENCi/Xc9CIfza5KhD8ICcbk8HPnFOiw=,15,26,,7,2012-12-23
XZ/W0nfV0k+XhPYsypZF1Tk2fFW8ie6iIma/hKzUcOg=,1,0,,7,2013-02-22
BYOTUQWYL8qYYYC7FOsPgdN2hjFKZLKNF2KdKOi8nxc=,1,0,,7,2015-10-19
9xjJH9cxh9JrF5TY+k/6EVgUcy07MIrBh8mUX0gzO08=,13,0,,9,2015-06-23
Ty85Ztk30dPY+D2SOtT8trhh0qWxNzjhtDcS+osyJyo=,1,0,,7,2015-08-01
pE9BDb6BuaaVbURkT0hvodioEumT4MVuwKm5JeGQbX4=,14,17,female,3,2014-04-09
jR+9T2E1Y9IHgKaCiiexTe9Lv/j+T9aTGolh+cV/ES4=,1,0,,9,2015-05-19
fIf6eP5V/XvGL/fMMIHzPWjoZ30Cb7SZQHqN0N82668=,1,0,,4,2015-12-02
udKQohBLr9xhB38pZc+4YPSXlMD7Ytel/YFEVBwa640=,1,0,,4,2016-01-08
2C/O857e/IO4t/J0VY5hKoovu8bASGl0+p9SDdo55o8=,1,0,,4,2015-12-01
2j6XdpLhl5JFp3hN4/JOfkRmbD+yWQ2YG99vcVjFld0=,1,0,,4,2015-12-10
e6HDpmHaU4YkZ+CoCOQoRIpST3quIxON9UIaeWS65z4=,1,21,male,3,2017-01-18
HuPpkQ00A+SveQVjTJ9FciZN48VgfemygCJJiSJBSgI=,1,0,,3,2014-02-28
gg2CTpUFS3Ky5AZBQ12CGN2k/+/sBgjn5WPLkqkiDSA=,1,0,,4,2016-05-28
7+3Qdh7u/FKdPy6IRRGJfoA5PMGT3Fs52MTUxrKzvJs=,1,0,,4,2016-01-29
60htNHW1RZpNnB2nGKu1At7cT2e44CpIOR1g+iAhkfw=,1,29,female,3,2015-06-03
LFsHgSTyM8UXfjyLyVLMA5HwEB5juYGc2xsJt5YrA5o=,14,22,female,4,2016-08-13
X+i9OmM3P42cETt5gPkOnz8vXGViQL5/M/NMiMQ+Olc=,22,0,male,4,2016-08-22
dstnJlT6+aX2qN65h+K9sWt32pKeowT9YvJWLW2QTEQ=,1,15,male,3,2016-10-21
fI7pGgFqJlKrDCQ7kKf77vhvLsqWfkQhoNY6w6JXi50=,1,0,,4,2016-10-22
ZNcWJZg4Muk5KctLDg9KmdgP86j6JTZ5NGYrj0qSC7M=,1,0,,4,2016-01-25
zhR9jyynxoE4NWp1rJdQgASBUJCBVbH+mel4Pnh6ePU=,1,0,,4,2015-12-02
g7exJzakJlHXwzUydnShY5w24WXSwJyS6QqgoFeyr7g=,1,18,female,4,2015-12-11
ohZPAfTRSjYtcyPK0bk96LS7dkBrgjni5pTAjG5RJG4=,1,0,,7,2015-10-24
lJpWd0iXJcauPqdLPkfp8o2D9PDNFGTHlEuSUGPuFJ4=,1,0,,4,2016-02-27
EzU0eKvrQk4tKlrsPVq6PPcQgGEAc3z8H2SbheMWYq0=,1,0,,4,2016-05-10
qchtVo091PbbrD1iNwGnQTtRL4qO2YUL/oiK1ySDtPs=,1,0,,4,2016-05-26
lgmNiK92cgMmMsarZMEjZaEKU6Jxcqb/DKvG0j5cS10=,1,0,,7,2012-12-15
7LDdkTH1TQFO2ubLpkpfQdtZlsOc44R3CW4MwxxCeMQ=,1,50,female,9,2012-01-04
wSRzxvwZHtn+NN5g4QEHmMlJvV7D4UEL4J3OQibv4fs=,1,0,,9,2015-09-06
TgXDg8FNJx7B+WA+cHi2xHfQD1wRP2c99NQI9S0i4ig=,5,31,female,3,2015-09-18
jMzhXe66ZEUa7Bz/Gk6ndOdYOF5N2j5M8+O/BZcGyHc=,1,0,,9,2015-09-20
L5cTP0sPjowVe2kPr4qBFJczmem9i0ce8dPq7ywLE/E=,1,40,female,3,2015-09-24
7e9SkRkv58IuI7CoqP3AA1ywV0/h64zaDESRRBbez7Y=,1,0,,7,2015-10-10
og0yfdYTmQBKmo///p73ald+rFFbGBm2ju5fS4Te5q4=,1,0,,4,2016-06-30
9dBaFOCeiG8yPIODQaNUpLIeoTWYXMOTr3/TF7ibw9Q=,5,17,female,3,2014-10-18
3x6ujircrZzAu/SxMZdSdrynV2n07A/cp9iZSfeCQe8=,1,0,,4,2016-07-01
EJWZfhy0hU/dJJsdpTbVLpuSPPc1hR7I0iehRjSuNtw=,1,0,,9,2014-12-13
VvR9NhGbCAn+Lh5R0CLVTaWcSMMzAk3iftZTdEDhHkM=,4,23,male,3,2015-07-01
R6MXFk78Yfnw+k4vrKBMfwr1BJtf9qhJIqn6qq0qOGc=,1,0,,4,2016-10-30
oqw/CHMOMNNMnilrdIxhFh6tkHZHYSjtp161AD26Apk=,3,17,female,3,2014-11-25
kEYpxjnwXGY9le45SMpC+iCynetLQpXc+bLc3OXYiuY=,6,25,male,9,2006-07-10
b/hB54wx0EGJmVR04ikWxrilYSi82TTBtb1lRHsG+eA=,1,49,male,3,2015-10-03
I6a6Mg6XiZFPwgoNXnzKf9pm2w06tOeMqok+sM5pRGs=,1,0,,4,2015-10-19
UvhMb71zE4zs3hCrfFt1EmW7nvM/Q3lZWBb+3SZQpWA=,15,37,male,9,2007-03-31
4AegRBkirQ08ZMqI39+n/rF2CKUKe7rbVn8w8FH/JPw=,1,0,,3,2013-05-17
hgoAGrPIHL+iwddMuDS9IO4JjM8p52bnj3CxIxo57Ac=,13,27,male,9,2004-07-22
OYJdaCoAvJz75CPtZpQOg/gGAkEjWySxc8f5g+KjwQU=,1,0,,4,2015-11-16
AtXx+Cx3xjzlN44T0cEtOsu0uW9QIK59ktusMTOiGUg=,1,0,,9,2015-08-24
gV0S6N8P8vsEb6JCpsaOveeSzQZ96h1dQ0sw8jFQW9I=,22,49,female,3,2015-09-19
DDVhd5XgCGhpGmzviRoIabYgrgRb5EolvobBoRdqHLI=,6,20,female,3,2015-09-19
+/YVsAKHl+zz+knoN7tD/304ryI518FHS8u4zY+7cDA=,1,0,,4,2016-03-20
ZzzNL6AE9qkJz836qhmLwEY+0yoGjM5Rrj8vVovGW7A=,4,32,male,9,2012-04-15
8O1V1gpeVTZx6tMeFp0MJ2pqle1BJL1+fXf7FX2jTMU=,1,0,,4,2016-06-28
1VK/OLUiOFRjDV+GCeliHTIXItkO0UIPEr8GuHWqcsw=,1,0,,4,2016-03-10
bWNjsSAiX3WQj4MvRQ+9WMxal81PlnGrii3tzS+NVLI=,1,0,,4,2016-04-23
70uz4fSMo+St0MqKZCICwEc1KCBEYziCivM1JhCF2yw=,1,0,,4,2015-12-04
vc7ZITjacPTKmdvzQbmgad67NOzXgp4RyGGJtle4GQA=,1,0,,4,2016-02-05
fHieG9Zi3Yb1q3xQpLdGl8dT45FahQ8xJF/TJ15tS+w=,1,0,,4,2015-11-10
Vejbr8HdCK91Cjj7po3c8Efosqq88qjFGQ/o+VEkfOU=,1,0,,4,2016-03-29
dcFk5QWEmBUixDkYztYXrsy0SZFxyNmkI2s4z6lPH/s=,1,0,,4,2016-04-04
sonVS5CXEwJ4RYeT7tS+CJFru0Aty7jjG9gFNed5DP8=,1,0,,4,2016-04-07
q45la5glXTzo7hwM0pJRGwxnshN+TAyHbWQ59VqsfXQ=,13,19,male,3,2013-07-12
uUpazlRfm25gIQrlbXFxVzeqNie8ettPwjc24zmkqFc=,1,0,,4,2015-12-19
u2KJWwnxufXa/xva6cd2jPRaO8ge72KrEEV02R/U9qA=,1,0,,4,2016-04-12
O8k06SbY4ziYuqhQ1R6ZUOS2NGZlvoSP0sRUwE/HEUE=,1,0,,4,2016-04-20
u7RZjEzTT4ssoSej5lD7xRkuPUk/n17l6m0wGp5jQoA=,13,35,female,9,2005-06-21
gxpXjFcvnRhkzWnIi34t0Nb5la5deC/+4ymCtQ6JRQM=,22,32,female,9,2005-10-19
Qoic9g014A8lEaoot33My/1E2xf8rvpfbIiB9SZtgoQ=,22,25,male,9,2008-10-06
myAgPgnkaCBmWIXGDXjtWUnW1WI+0/RDB8WWfJiPjr4=,1,0,,7,2015-12-05
r9t73+wqqOOFLxZisO3dzhZAr8VQiwzlRJ/to7y/jA4=,6,90,male,3,2015-06-06
XDapmKnEWS09lz7RNl1ZVhZLmpCiE/gn5lblZQImhzw=,4,37,male,9,2014-09-14
0AdbxL0W04zsTlRuE2hnSvxCdtjzVuZQiIBX+FbIuqI=,1,41,female,3,2014-10-10
vb59yQI0QLXIDnyKfk1Fsr0yHfbNNHT+iQ886O69En4=,1,0,,4,2016-02-04
eaf6W7gAoMSNg8YMfqSOJpuIxmXlvmypoNuOd/j1be4=,1,0,,4,2015-12-13
XzPtlBf6UhgRvczWZ5QOkVup2MPfHv7O8EY84SdQ3UY=,1,0,male,3,2016-06-11
KLJ1JoYWkKpadfxW0/Ywx0JtSrH2hiVwK8v4PadlJyA=,1,0,,9,2014-03-17
4Mk9iW+CYTzmlhKL4Xo6qaR46KjuNC+VKqwEn2phCPk=,1,0,,4,2016-12-11
Ps7Z9UU5yK6e4nc9RM6gt+wIQFdBdKrqnHxB2U44gy0=,1,0,,4,2016-12-17
3YQmQtovUaQ5nBF52OejjYsXAcPUtgyaYeJjOyHOrQs=,1,19,male,4,2016-04-08
pO/zU0+UGANXx70N9JRiP+QmsaFH4hg+aF12vK5w/rA=,1,0,,4,2016-05-10
UodPSEHA97WLUtlaRq/do52ddGhpapF4ldJvQS6pwrc=,1,0,,3,2014-02-24
iJuVQXW/Rczc2alMXRDvbXdhhpatMizY4LfOkICym7k=,1,0,,4,2017-01-29
HUrKTauhgcTl4746QELf7VYbokcazMQIjAfBS97ByHQ=,5,19,male,3,2014-07-12
hKQjVoXaBDulPUwBUs/iv09jN26Tmjnv2P15oKaTJEg=,1,0,,3,2014-07-29
Ikif2c7nH3z1nYaDgOmbEpIIwzjpqd2e9kopZoefSGg=,13,38,male,9,2013-08-13
Fup+egXGgVtgwglAfaIqwvEXdA1E/Uh7Xg9erRMLU5g=,13,37,female,9,2007-09-18
moJMOyiomK46cwxJTk5p6zxBcli/Z6eVOdH5xQ8ofCw=,1,0,,9,2015-09-17
fgaH+njfuP7Glq8b8ioqJRP2XDHmHcReZRJQllUX/Fk=,18,0,,3,2013-06-12
3ya7P2qYpSfzrHLzpAHjqe7I13BF9KEp2G7ejm4ofuQ=,1,0,,4,2015-10-11
Ou7BucDhYAkNCUW4O6IYi0bVH/e59snVglPVpEn/0gQ=,13,27,female,9,2006-04-10
o+TFVuI7j/JdJxsVUq/qfksB/auONpBUJoOxSH68L7g=,1,37,male,3,2015-06-07
Nkf9MLW/0bgdst37tm73RiOQ9XSxeuHDP57fqrOD6nM=,1,0,,3,2014-07-26
BYcgfRB0q+T5N6OSLb2ykVce5ihcWuUs4U3cnB5Sa6U=,1,0,,4,2016-03-27
pAzh0JPbEPDcqRlN+q4qZyLzo7B7S0U9x0N5Ylwfynw=,13,29,male,9,2011-08-28
/kAn3GRenpN4JHhdQy9KmB2Xus41Vkcy5goz3veV+xc=,1,0,,3,2012-07-23
lcL65LApLn+1GUVbDvFiclkNeRVN94YpgtPmR4Yd5tE=,1,0,,4,2016-03-20
0JfHga3lH6rJddVVzBKvHoBQf0i/8BCcckLUy4JyA/c=,1,0,,4,2016-03-21
zVf9C4sVk4EjU5SR36YGu/hng1Hj4e5q75Dyee8/Uwg=,1,0,female,3,2016-03-15
7Quv3Pq+zVTXG8tWBiVvgGoJ4x2QGMyEH83YIBT0kOE=,10,30,female,9,2011-08-30
mWeYbW8CQkfQ8zJaOhkxb5aJ9PT09qEEDTWFURz/oww=,1,0,,7,2011-04-21
aOr/UcjJNyOraxW2ilWmBbMv/z2vHsNNRnRIO/XEGTE=,16,36,male,3,2012-10-21
r1kzi2tsjmI70iBrRGrrs8/2p30mMiM77Yg6TCQ36NQ=,1,0,,13,2017-04-23
2P5QAam8jBZBugcF8EDuCqLz7XlwueqLuKHQu4kHdNM=,1,0,,3,2014-02-25
prNQbaxVCw83dF3kmlTgMOCzK/k3opPN5qxvoieQVSs=,1,0,,4,2016-04-24
sGZx3P6KINoG38D87ztFNahVl0jI6M/+EokxbwFeARQ=,1,0,,4,2016-07-10
BpiB4mMiX+maaRR8eS1aCwCsR45QDI4mqbtDWSJIRkY=,1,0,,9,2015-05-04
F6ky+yBHXYKzY6CR1pIwZ0GTUM9kr863Bdqkt1LinSs=,1,0,,7,2012-01-31
GWDVxi7G5YEbwqPWSB78NRmMEi7whV6oxbvoubPa34E=,5,52,male,7,2011-03-23
+XwYcxM311z03ktr+45BaJb7MZWmOhdAaQVvP0QRcnE=,1,24,male,3,2014-08-24
MQnLwtoNoEpaSNe30ObgK0TDEJ6YHregY/ijlSOGvJU=,1,0,male,3,2014-10-27
hJ3vHMa40S+kP+VcGEv60/RjLr8LwwAOR6VHJjBm/O0=,1,0,,4,2016-11-13
1EGc87MjCLP7vedNdSe5ZoTwbA5tTx7XdEOpSFCLbJE=,1,0,,3,2013-10-22
aeGXcMH9D/vYSBp4ab5vzUPf9ueYIXClBseE0Fu8gZA=,1,0,,3,2014-01-08
e4u7dZ6B1/ThH7YHvLNZwp9QL1Z+q6HcdBLU7+VS0jw=,1,0,,4,2016-04-03
r1EcYt1m/DibWGsVkusdIf8N/HE0vgoKytL0MEW3I9I=,1,0,,4,2016-06-12
0huh/1G998EQzZjW+BgFzIwdp5uOGQ4R88Up3HVj1zs=,4,23,female,9,2011-01-17
E1NgJMps/MaZnsBb8PBpToiU4/LZB860xcLz1QAnnH4=,13,23,female,9,2011-02-11
ay5VkoG8yYorI1M34G4Og4Q3BRgpY2WkAjD9KIncmco=,1,0,,9,2014-03-16
haFmwUFWHTIdNayQEI1lZ11vXpVXiXjY7hehwYbYP80=,1,0,,9,2015-04-25
+hRH3pQ/G47moxSimMjRPCCK9qvVbFQ0jmsEFcqpy3o=,1,0,,4,2016-08-13
82+OwAYGEh3HZ2V51qfcGGoQZKgTaqqz3J/jL4cdGm8=,22,28,female,3,2013-02-10
+B9WlPMebZYpWXXNZlHF5H8x52WaRYevK79b4SzDtqo=,1,0,,3,2013-02-15
aBo4w7MSa8rI67UcFfMxIzlYYg8wFva4p1JqrZKpXhM=,6,33,male,9,2013-03-12
V6F6kJ0H8ENZb9BE0j8beUUPLpb4IGLJR1e0SbMf/vQ=,10,23,male,4,2015-12-22
aAMTGrYe5xoLxUpLpSZ7FH32uWKCUmKQY6Qo4mVEpQE=,8,24,male,9,2010-02-09
koBEM05rvocilPtrq9iUNat6T+cnDUCBN2OwUQFmNbU=,1,0,,4,2016-05-04
/JDoRzJ5wz0mTZr2XpOKe5Q7UQ7ArQ5uynl8z0ZAiQg=,1,0,,4,2015-11-12
bX5QY4x09/+x/uKZiihNF1p6R0fcMFak0UjTn66jNI0=,1,0,,4,2015-11-14
VEb6ml0nBWNvdCDANz4aIexWnuImVt0i5mzuCopePhU=,1,0,,4,2016-06-01
uSAM6m7FPS2KUYxGAAN4pqlpbCj37us36I0LM8ZPQ7o=,1,20,male,3,2015-08-30
8jAP7MWk/SnpEua/Gv5mZ84S3CyqfCbpyJo95MsBUns=,1,0,female,3,2014-09-16
65DoEBVLSDmw02UWfONWZeHgQTJei9bGEPMJof4xU8U=,4,28,male,7,2014-12-15
4tqU+oVFs0DFu9/cPBCbuuGDaYYlErV8vkS29RgbqRg=,1,0,,9,2016-07-29
04M6sds+iAGlwmnEHYjWwy79cNDStBzEKGE4RUrTA+k=,1,0,,4,2016-08-07
qsm8E6nec6gSPNWvwVptUQ4sienXue2y8w8/UTe9Rx4=,5,23,female,3,2013-04-04
yYI0KtuL5UZ0xcuG7qnDktVHZ5nYgoxVmOK/x4pEJcA=,1,29,female,3,2013-04-30
jW1hL6pPo492iMF1VGs1pqUVURMdvhWQcGASkoQmUFI=,5,46,male,9,2010-02-21
y/Qz9zUcGftF2bkzQIBjxfXNy9hU0KJl16Bwu3I6x9w=,1,0,,3,2013-09-23
t10WFdkYLch9VkNOeRm37lFZyQ1Eq0tvOlHre/ta/TY=,9,22,male,9,2009-02-15
aQCLDwjPAesPPIcwnRDwkn5YRu83uJFAYZawNHyws+Y=,1,0,,3,2013-02-10
zrl+7EPBeiOGDFVzuwy9+zbXg5ukGTsPwumPCxS/Qsk=,1,0,,4,2016-05-08
otvr+yjekf5TY9bNdAZaHQ6qTn+l63HZJJghxSyL4qQ=,1,0,,4,2016-09-28
MHiJYN4swyjuhX9xQ0dm3La67CrA1bsu6AWXlox92ts=,1,0,,4,2016-10-06
iNyhHKD5F0ZYH4vAYaEl1DCi2d44HhGsEny0SaD7s94=,1,20,male,3,2015-08-19
p2ZXsip+t5UcFOPvZjXLcz4JjKeW56vHmkjeRFJPlw4=,1,0,,4,2015-12-03
62xxlF8H99B38dwMohiy2cJDcAuSOgs2tW+4NrQeq5Q=,1,0,,7,2015-12-13
Bccy8bDmfmII6Sk3dOJ8YPsV+fSu9pa0AoB8WrsrbGc=,1,0,,7,2014-02-03
+9v4Rbyc+58MyKbt1wrCskWClJadOJh7CapZa9CYXUM=,5,24,female,7,2014-01-14
vHIncu6upAYb9Wo1H3XkxYGftIp5U8UuDiZYkk02Xg4=,1,0,,4,2016-07-31
DfzOaeTLSN3RggDo7oQNDJVOZzgZg+z0sf8SgSNBJPo=,13,27,male,9,2007-03-12
rfOKtBzCVUNanN66C0QkHHHqPlKLED2+JQBySxWNjbQ=,1,0,,9,2015-06-22
mDcIRkzdGVR3VBjx4po782ov2S5/W6FMB8FcEnNxE1A=,1,0,,4,2016-05-30
FsoyzlxtUIUxuhBe1fXBUQck5j6+BEKbnRnqcgw5YmM=,1,0,,4,2016-01-01
jn559Mo2Jpe/AC4wmfKjj9YdlZijJREhtrrs5aIzock=,6,50,female,3,2015-07-08
8Bdl7B9FCzwwxKtEtmifUVstWI6spNUfv73j524QkMw=,1,0,,7,2015-07-09
Lrais3nsgqYwpfpSoyK3fHuPutf6cloTI5T5dQfs4lA=,15,17,male,4,2015-11-11
/3FghFotEtP9WrFivmywMsYGAylE0WPqG+/BVYXu5GY=,1,0,,3,2013-08-15
yRrvMLgKlRE2SIwqh2Kw4hz5I8XVEcAHKmbywHhrbBA=,5,37,male,9,2007-03-05
SeZCwZ3hpRXkUNrw+7EvJBwQCFqAaO44VxkyXiDrA8I=,13,34,male,9,2006-01-27
P4Bkqh87tj+QmuEFLKPlIGnq2yMt+65BBywcULsYm04=,1,0,,4,2015-10-12
kCt7Io4cTZOTm6hnrhXhlzKHYyswHWhV/DF+Zkxjjhw=,15,20,female,4,2016-02-26
rXgf1VKxAuNbZ+2JEhVqxDlkXJqvngIV9REfvbpbM8E=,1,0,,7,2014-04-04
cSNn9u1I5pzTYlLQZNMkryBSrt7z7M0ZEMomoRP0zVg=,1,0,,7,2016-03-14
rbX/W1fY6uzQdNPo03kfgFs++VcOXn9M0L5H9sSfiXI=,6,0,,4,2016-08-20
KE1xBT3LFneHSOQfZxW4lVHEjYhNfcBt7+agstcm6vQ=,1,0,,4,2016-09-07
+EWeJ8IfOVZ4+5KFX10rc8H4Lz9kosvwCVlTp2ivBxA=,1,0,,3,2014-03-04
QafVBJTaQLFPl4aavbL99BYJUourN/JdVN9eFqMHfj0=,1,0,,4,2016-02-26
jlKxh//ql610JFcQ1hoGLR7qFJwxmcTQe4o4zH572Dk=,1,0,,7,2015-07-06
Eg3V4YDh214bgpvzxtwCvCl/LdAzHYqGfrihFpBtf+Q=,1,0,,4,2015-12-12
Ia9kMI3s9ndNfeu2SkUJHDyGcqmM0YY/NeiYaPGNhX4=,1,0,,9,2015-10-23
FcmfWBEV8kaSOTyvziUgBAwBvvCbVYXtPujMFR3yp0M=,4,0,,4,2015-11-02
fK+v+lLkH+2w9sl8VT8iSjAb2szli/yrCYpAlZEsPUw=,4,51,female,3,2013-10-14
r7+9NA+rRR3sEQ2sDpj2KoZEKuSsOXwxqdwR9xn3Na8=,1,48,female,3,2015-08-16
5WLJB/le+7wnJDznFJ+GZW4m2BMv0Tyi+sfyF2PFsug=,1,0,,9,2015-08-19
gKR6qdQEeH2hLD/TRhmw0sdSanbmJ5tUO3iBT77evTI=,1,0,,4,2015-11-12
F4je4QjSt1i2biJLX/DDaxH9BYOl7LlJ6f6ZL+ejpuc=,5,51,male,3,2015-05-24
hCDrALdyrJewb4rySRA1mk+BBE8VIaiRkcQKuDGKKkk=,1,0,,4,2015-11-22
ugjE5RWcssD0hxulHEo7Ugy4FTEBw3oks0tupOrMrCg=,1,0,,9,2014-04-24
1GRlJJmLS4qjS97iPq765j2Lrnp2HqzAoQWQs4wutSs=,22,29,male,9,2014-07-24
Tn/6Oq0HtbWrhhzukk3f8Bl8pjScw12c+XfTLMnhCMI=,4,30,male,9,2006-11-17
ssevv2oxPSJyAsf3FtCx0Gx2+rUn88i8dVpMtf6zYbA=,14,24,male,9,2011-02-19
QDs2oTwaQ/PPO7JrPoJ0zMD/cFGJDVrMYTO1EVTf1xA=,1,0,,7,2011-01-04
whaAE88j7T4aBZDb2qpL/1lllr8V6IybpFHB+7tGSwQ=,1,0,,4,2017-02-08
jd/v2+af/68LhpWD7HsBX6tPc1mD9qRgSzJrPg3H3I0=,1,0,,4,2017-03-01
Bg30cD5HrQWrMrqVsJBOYMM6ji2HltqADvO1scxctBY=,6,19,male,3,2017-04-20
